,year,month,customer_state,0
0,2016,9,SP,1
1,2016,10,AL,1
2,2016,10,BA,3
3,2016,10,CE,6
4,2016,10,DF,6
5,2016,10,ES,3
6,2016,10,GO,7
7,2016,10,MA,4
8,2016,10,MG,35
9,2016,10,MT,1
10,2016,10,PA,4
11,2016,10,PB,1
12,2016,10,PE,6
13,2016,10,PI,1
14,2016,10,PR,19
15,2016,10,RJ,40
16,2016,10,RN,4
17,2016,10,RR,1
18,2016,10,RS,17
19,2016,10,SC,9
20,2016,10,SE,3
21,2016,10,SP,94
22,2016,12,PR,1
23,2017,1,AC,2
24,2017,1,AL,2
25,2017,1,BA,24
26,2017,1,CE,8
27,2017,1,DF,13
28,2017,1,ES,9
29,2017,1,GO,18
30,2017,1,MA,6
31,2017,1,MG,102
32,2017,1,MS,1
33,2017,1,MT,9
34,2017,1,PA,10
35,2017,1,PB,2
36,2017,1,PE,9
37,2017,1,PI,7
38,2017,1,PR,62
39,2017,1,RJ,91
40,2017,1,RN,5
41,2017,1,RO,3
42,2017,1,RS,52
43,2017,1,SC,26
44,2017,1,SE,4
45,2017,1,SP,283
46,2017,1,TO,2
47,2017,2,AC,3
48,2017,2,AL,12
49,2017,2,AM,8
50,2017,2,AP,2
51,2017,2,BA,58
52,2017,2,CE,13
53,2017,2,DF,21
54,2017,2,ES,31
55,2017,2,GO,24
56,2017,2,MA,11
57,2017,2,MG,241
58,2017,2,MS,11
59,2017,2,MT,17
60,2017,2,PA,24
61,2017,2,PB,11
62,2017,2,PE,20
63,2017,2,PI,10
64,2017,2,PR,110
65,2017,2,RJ,230
66,2017,2,RN,8
67,2017,2,RO,9
68,2017,2,RR,2
69,2017,2,RS,100
70,2017,2,SC,57
71,2017,2,SE,12
72,2017,2,SP,601
73,2017,2,TO,7
74,2017,3,AC,2
75,2017,3,AL,10
76,2017,3,AM,5
77,2017,3,AP,3
78,2017,3,BA,87
79,2017,3,CE,26
80,2017,3,DF,54
81,2017,3,ES,47
82,2017,3,GO,47
83,2017,3,MA,22
84,2017,3,MG,343
85,2017,3,MS,19
86,2017,3,MT,16
87,2017,3,PA,35
88,2017,3,PB,16
89,2017,3,PE,36
90,2017,3,PI,13
91,2017,3,PR,121
92,2017,3,RJ,370
93,2017,3,RN,13
94,2017,3,RO,16
95,2017,3,RR,2
96,2017,3,RS,144
97,2017,3,SC,104
98,2017,3,SE,22
99,2017,3,SP,966
100,2017,3,TO,7
101,2017,4,AC,5
102,2017,4,AL,21
103,2017,4,AM,13
104,2017,4,BA,84
105,2017,4,CE,42
106,2017,4,DF,34
107,2017,4,ES,45
108,2017,4,GO,38
109,2017,4,MA,25
110,2017,4,MG,266
111,2017,4,MS,15
112,2017,4,MT,25
113,2017,4,PA,36
114,2017,4,PB,20
115,2017,4,PE,36
116,2017,4,PI,11
117,2017,4,PR,112
118,2017,4,RJ,325
119,2017,4,RN,10
120,2017,4,RO,7
121,2017,4,RR,2
122,2017,4,RS,132
123,2017,4,SC,100
124,2017,4,SE,13
125,2017,4,SP,873
126,2017,4,TO,13
127,2017,5,AC,8
128,2017,5,AL,26
129,2017,5,AM,8
130,2017,5,AP,4
131,2017,5,BA,119
132,2017,5,CE,62
133,2017,5,DF,60
134,2017,5,ES,90
135,2017,5,GO,83
136,2017,5,MA,31
137,2017,5,MG,412
138,2017,5,MS,26
139,2017,5,MT,37
140,2017,5,PA,35
141,2017,5,PB,17
142,2017,5,PE,63
143,2017,5,PI,23
144,2017,5,PR,206
145,2017,5,RJ,466
146,2017,5,RN,17
147,2017,5,RO,8
148,2017,5,RR,2
149,2017,5,RS,206
150,2017,5,SC,146
151,2017,5,SE,11
152,2017,5,SP,1363
153,2017,5,TO,17
154,2017,6,AC,4
155,2017,6,AL,10
156,2017,6,AM,1
157,2017,6,AP,2
158,2017,6,BA,103
159,2017,6,CE,44
160,2017,6,DF,69
161,2017,6,ES,79
162,2017,6,GO,73
163,2017,6,MA,15
164,2017,6,MG,356
165,2017,6,MS,27
166,2017,6,MT,24
167,2017,6,PA,36
168,2017,6,PB,22
169,2017,6,PE,41
170,2017,6,PI,14
171,2017,6,PR,167
172,2017,6,RJ,399
173,2017,6,RN,12
174,2017,6,RO,10
175,2017,6,RR,3
176,2017,6,RS,215
177,2017,6,SC,109
178,2017,6,SE,8
179,2017,6,SP,1284
180,2017,6,TO,8
181,2017,7,AC,5
182,2017,7,AL,15
183,2017,7,AM,5
184,2017,7,AP,1
185,2017,7,BA,144
186,2017,7,CE,53
187,2017,7,DF,75
188,2017,7,ES,81
189,2017,7,GO,77
190,2017,7,MA,37
191,2017,7,MG,435
192,2017,7,MS,24
193,2017,7,MT,37
194,2017,7,PA,36
195,2017,7,PB,26
196,2017,7,PE,70
197,2017,7,PI,20
198,2017,7,PR,195
199,2017,7,RJ,547
200,2017,7,RN,27
201,2017,7,RO,10
202,2017,7,RR,1
203,2017,7,RS,242
204,2017,7,SC,152
205,2017,7,SE,13
206,2017,7,SP,1543
207,2017,7,TO,1
208,2017,8,AC,4
209,2017,8,AL,17
210,2017,8,AM,5
211,2017,8,AP,3
212,2017,8,BA,152
213,2017,8,CE,73
214,2017,8,DF,83
215,2017,8,ES,94
216,2017,8,GO,89
217,2017,8,MA,38
218,2017,8,MG,459
219,2017,8,MS,24
220,2017,8,MT,38
221,2017,8,PA,57
222,2017,8,PB,16
223,2017,8,PE,83
224,2017,8,PI,20
225,2017,8,PR,220
226,2017,8,RJ,537
227,2017,8,RN,20
228,2017,8,RO,14
229,2017,8,RS,296
230,2017,8,SC,152
231,2017,8,SE,19
232,2017,8,SP,1665
233,2017,8,TO,15
234,2017,9,AC,5
235,2017,9,AL,19
236,2017,9,AM,9
237,2017,9,AP,2
238,2017,9,BA,167
239,2017,9,CE,74
240,2017,9,DF,94
241,2017,9,ES,93
242,2017,9,GO,84
243,2017,9,MA,41
244,2017,9,MG,493
245,2017,9,MS,32
246,2017,9,MT,34
247,2017,9,PA,41
248,2017,9,PB,25
249,2017,9,PE,74
250,2017,9,PI,22
251,2017,9,PR,176
252,2017,9,RJ,591
253,2017,9,RN,23
254,2017,9,RO,16
255,2017,9,RR,1
256,2017,9,RS,273
257,2017,9,SC,153
258,2017,9,SE,16
259,2017,9,SP,1576
260,2017,9,TO,16
261,2017,10,AC,5
262,2017,10,AL,28
263,2017,10,AM,3
264,2017,10,AP,3
265,2017,10,BA,158
266,2017,10,CE,63
267,2017,10,DF,92
268,2017,10,ES,100
269,2017,10,GO,106
270,2017,10,MA,48
271,2017,10,MG,542
272,2017,10,MS,33
273,2017,10,MT,50
274,2017,10,PA,52
275,2017,10,PB,28
276,2017,10,PE,77
277,2017,10,PI,23
278,2017,10,PR,198
279,2017,10,RJ,654
280,2017,10,RN,23
281,2017,10,RO,13
282,2017,10,RR,3
283,2017,10,RS,244
284,2017,10,SC,174
285,2017,10,SE,22
286,2017,10,SP,1723
287,2017,10,TO,13
288,2017,11,AC,5
289,2017,11,AL,26
290,2017,11,AM,10
291,2017,11,AP,4
292,2017,11,BA,243
293,2017,11,CE,103
294,2017,11,DF,157
295,2017,11,ES,168
296,2017,11,GO,153
297,2017,11,MA,53
298,2017,11,MG,922
299,2017,11,MS,44
300,2017,11,MT,73
301,2017,11,PA,69
302,2017,11,PB,27
303,2017,11,PE,125
304,2017,11,PI,31
305,2017,11,PR,365
306,2017,11,RJ,1012
307,2017,11,RN,41
308,2017,11,RO,17
309,2017,11,RR,2
310,2017,11,RS,409
311,2017,11,SC,288
312,2017,11,SE,26
313,2017,11,SP,2899
314,2017,11,TO,17
315,2017,12,AC,5
316,2017,12,AL,12
317,2017,12,AM,6
318,2017,12,AP,4
319,2017,12,BA,188
320,2017,12,CE,79
321,2017,12,DF,129
322,2017,12,ES,108
323,2017,12,GO,125
324,2017,12,MA,40
325,2017,12,MG,669
326,2017,12,MS,34
327,2017,12,MT,49
328,2017,12,PA,58
329,2017,12,PB,37
330,2017,12,PE,101
331,2017,12,PI,23
332,2017,12,PR,260
333,2017,12,RJ,746
334,2017,12,RN,30
335,2017,12,RO,11
336,2017,12,RS,278
337,2017,12,SC,192
338,2017,12,SE,20
339,2017,12,SP,2295
340,2017,12,TO,14
341,2018,1,AC,6
342,2018,1,AL,36
343,2018,1,AM,12
344,2018,1,AP,11
345,2018,1,BA,228
346,2018,1,CE,77
347,2018,1,DF,135
348,2018,1,ES,145
349,2018,1,GO,144
350,2018,1,MA,55
351,2018,1,MG,846
352,2018,1,MS,70
353,2018,1,MT,83
354,2018,1,PA,69
355,2018,1,PB,31
356,2018,1,PE,102
357,2018,1,PI,47
358,2018,1,PR,371
359,2018,1,RJ,850
360,2018,1,RN,42
361,2018,1,RO,20
362,2018,1,RR,1
363,2018,1,RS,367
364,2018,1,SC,311
365,2018,1,SE,19
366,2018,1,SP,2975
367,2018,1,TO,16
368,2018,2,AC,3
369,2018,2,AL,27
370,2018,2,AM,8
371,2018,2,AP,2
372,2018,2,BA,208
373,2018,2,CE,84
374,2018,2,DF,170
375,2018,2,ES,149
376,2018,2,GO,146
377,2018,2,MA,55
378,2018,2,MG,790
379,2018,2,MS,64
380,2018,2,MT,67
381,2018,2,PA,57
382,2018,2,PB,35
383,2018,2,PE,121
384,2018,2,PI,32
385,2018,2,PR,335
386,2018,2,RJ,879
387,2018,2,RN,23
388,2018,2,RO,13
389,2018,2,RR,3
390,2018,2,RS,363
391,2018,2,SC,254
392,2018,2,SE,15
393,2018,2,SP,2632
394,2018,2,TO,20
395,2018,3,AC,2
396,2018,3,AL,27
397,2018,3,AM,8
398,2018,3,AP,5
399,2018,3,BA,235
400,2018,3,CE,93
401,2018,3,DF,147
402,2018,3,ES,133
403,2018,3,GO,141
404,2018,3,MA,49
405,2018,3,MG,856
406,2018,3,MS,57
407,2018,3,MT,52
408,2018,3,PA,67
409,2018,3,PB,39
410,2018,3,PE,107
411,2018,3,PI,34
412,2018,3,PR,369
413,2018,3,RJ,864
414,2018,3,RN,38
415,2018,3,RO,13
416,2018,3,RR,5
417,2018,3,RS,407
418,2018,3,SC,247
419,2018,3,SE,17
420,2018,3,SP,2971
421,2018,3,TO,20
422,2018,4,AC,4
423,2018,4,AL,27
424,2018,4,AM,6
425,2018,4,AP,5
426,2018,4,BA,216
427,2018,4,CE,96
428,2018,4,DF,146
429,2018,4,ES,140
430,2018,4,GO,132
431,2018,4,MA,46
432,2018,4,MG,778
433,2018,4,MS,43
434,2018,4,MT,64
435,2018,4,PA,66
436,2018,4,PB,28
437,2018,4,PE,110
438,2018,4,PI,34
439,2018,4,PR,381
440,2018,4,RJ,807
441,2018,4,RN,32
442,2018,4,RO,11
443,2018,4,RR,2
444,2018,4,RS,345
445,2018,4,SC,245
446,2018,4,SE,13
447,2018,4,SP,3002
448,2018,4,TO,19
449,2018,5,AC,2
450,2018,5,AL,19
451,2018,5,AM,9
452,2018,5,AP,6
453,2018,5,BA,237
454,2018,5,CE,72
455,2018,5,DF,140
456,2018,5,ES,132
457,2018,5,GO,136
458,2018,5,MA,32
459,2018,5,MG,751
460,2018,5,MS,44
461,2018,5,MT,66
462,2018,5,PA,40
463,2018,5,PB,29
464,2018,5,PE,102
465,2018,5,PI,30
466,2018,5,PR,308
467,2018,5,RJ,816
468,2018,5,RN,22
469,2018,5,RO,17
470,2018,5,RR,1
471,2018,5,RS,350
472,2018,5,SC,226
473,2018,5,SE,8
474,2018,5,SP,3138
475,2018,5,TO,16
476,2018,6,AC,3
477,2018,6,AL,24
478,2018,6,AM,7
479,2018,6,AP,2
480,2018,6,BA,198
481,2018,6,CE,72
482,2018,6,DF,147
483,2018,6,ES,123
484,2018,6,GO,105
485,2018,6,MA,41
486,2018,6,MG,714
487,2018,6,MS,49
488,2018,6,MT,58
489,2018,6,PA,54
490,2018,6,PB,28
491,2018,6,PE,91
492,2018,6,PI,29
493,2018,6,PR,306
494,2018,6,RJ,707
495,2018,6,RN,35
496,2018,6,RO,11
497,2018,6,RR,5
498,2018,6,RS,304
499,2018,6,SC,205
500,2018,6,SE,25
501,2018,6,SP,2738
502,2018,6,TO,18
503,2018,7,AC,4
504,2018,7,AL,22
505,2018,7,AM,18
506,2018,7,AP,6
507,2018,7,BA,245
508,2018,7,CE,84
509,2018,7,DF,165
510,2018,7,ES,122
511,2018,7,GO,112
512,2018,7,MA,39
513,2018,7,MG,644
514,2018,7,MS,49
515,2018,7,MT,47
516,2018,7,PA,57
517,2018,7,PB,51
518,2018,7,PE,136
519,2018,7,PI,32
520,2018,7,PR,314
521,2018,7,RJ,696
522,2018,7,RN,29
523,2018,7,RO,16
524,2018,7,RR,5
525,2018,7,RS,308
526,2018,7,SC,195
527,2018,7,SE,26
528,2018,7,SP,2715
529,2018,7,TO,22
530,2018,8,AC,3
531,2018,8,AL,16
532,2018,8,AM,4
533,2018,8,AP,2
534,2018,8,BA,159
535,2018,8,CE,55
536,2018,8,DF,143
537,2018,8,ES,103
538,2018,8,GO,117
539,2018,8,MA,29
540,2018,8,MG,700
541,2018,8,MS,35
542,2018,8,MT,39
543,2018,8,PA,43
544,2018,8,PB,28
545,2018,8,PE,83
546,2018,8,PI,20
547,2018,8,PR,327
548,2018,8,RJ,723
549,2018,8,RN,20
550,2018,8,RO,8
551,2018,8,RS,293
552,2018,8,SC,201
553,2018,8,SE,23
554,2018,8,SP,3164
555,2018,8,TO,13
