,year,month,customer_state,0,date
0,2016,9,SP,1,2016-09-01
21,2016,10,SP,94,2016-10-01
22,2016,12,PR,1,2016-12-01
45,2017,1,SP,283,2017-01-01
72,2017,2,SP,601,2017-02-01
99,2017,3,SP,966,2017-03-01
125,2017,4,SP,873,2017-04-01
152,2017,5,SP,1363,2017-05-01
179,2017,6,SP,1284,2017-06-01
206,2017,7,SP,1543,2017-07-01
232,2017,8,SP,1665,2017-08-01
259,2017,9,SP,1576,2017-09-01
286,2017,10,SP,1723,2017-10-01
313,2017,11,SP,2899,2017-11-01
339,2017,12,SP,2295,2017-12-01
366,2018,1,SP,2975,2018-01-01
393,2018,2,SP,2632,2018-02-01
420,2018,3,SP,2971,2018-03-01
447,2018,4,SP,3002,2018-04-01
474,2018,5,SP,3138,2018-05-01
501,2018,6,SP,2738,2018-06-01
528,2018,7,SP,2715,2018-07-01
554,2018,8,SP,3164,2018-08-01
